Admin2,Admin3,Admin4,Partner,prov,municip,brgy,loc_notes,date,Shelter Repair Beneficiaries Selected,"First Distribution (6,000 PHP)","Second Distribution (4,000 PHP)",CGI,Shelter Repair Closeout / Completed,Shelter Tool Kits,Sanitation Kits,Core Shelter Beneficiaries Selected,Construction Started,Wooden Shelter (Core Shelter),Half Concrete (Core Shelter),Core Shelter PDM,Relocation Beneficiaries Selected,Relocation Completed,Relocation PDM,Training- Skilled Labour
060400000,060409000,060409016,Finnish Red Cross,Aklan,Libacao,Ogsip,,8/7/14,,,39,,,,,,,,,,,,,
060400000,060409000,060409020,Finnish Red Cross,Aklan,Libacao,Pinonoy,,8/7/14,,,58,,,,,,,,,,,,,
060400000,060410000,060410001,Spanish Red Cross,Aklan,Madalag,Alaminos,,5/22/14,47,,,,,66,66,19,,,,,,,,
060400000,060410000,060410002,Spanish Red Cross,Aklan,Madalag,Alas-as,,5/15/14,42,,,,,56,56,14,,,,,,,,
060400000,060410000,060410003,Spanish Red Cross,Aklan,Madalag,Bacyang,,5/29/14,31,,,,,34,34,13,,,,,,,,
060400000,060410000,060410004,Spanish Red Cross,Aklan,Madalag,Balactasan,,5/16/14,10,,,,,27,27,17,,,,,,,,
060400000,060410000,060410005,Spanish Red Cross,Aklan,Madalag,Cabangahan,,5/16/14,16,,,,,38,38,22,,,,,,,,
060400000,060410000,060410005,Spanish Red Cross,Aklan,Madalag,Cabangahan,,8/5/14,,,,,,,,,,5,,,,,,
060400000,060410000,060410006,Spanish Red Cross,Aklan,Madalag,Cabilawan,,5/23/14,18,,,,,24,24,6,,,,,,,,
060400000,060410000,060410007,Spanish Red Cross,Aklan,Madalag,Catabana,,5/22/14,36,,,,,59,59,22,,,,,,,,
060400000,060410000,060410008,Spanish Red Cross,Aklan,Madalag,Dit-Ana,,5/12/14,30,,,,,50,50,20,,,,,,,,
060400000,060410000,060410009,Spanish Red Cross,Aklan,Madalag,Galicia,,6/20/14,12,,,,,26,26,14,,,,,,,,
060400000,060410000,060410010,Spanish Red Cross,Aklan,Madalag,Guinatu-an,,5/21/14,24,,,,,35,35,11,,,,,,,,
060400000,060410000,060410011,Spanish Red Cross,Aklan,Madalag,Logohon,,5/26/14,31,,,,,45,45,14,,,,,,,,
060400000,060410000,060410011,Spanish Red Cross,Aklan,Madalag,Logohon,,8/5/14,,,,,,,,,3,,,,,,,
060400000,060410000,060410011,Spanish Red Cross,Aklan,Madalag,Logohon,,8/5/14,,,,,,,,,,3,,,,,,
060400000,060410000,060410012,Spanish Red Cross,Aklan,Madalag,Mamba,,5/12/14,37,,,,,59,59,22,,,,,,,,
060400000,060410000,060410013,Spanish Red Cross,Aklan,Madalag,Maria Cristina,,,88,,,,,,,27,,,,,,,,
060400000,060410000,060410014,Spanish Red Cross,Aklan,Madalag,Medina,,5/13/14,42,,,,,74,74,32,,,,,,,,
060400000,060410000,060410015,Spanish Red Cross,Aklan,Madalag,Mercedes,,5/29/14,42,,,,,40,40,10,,,,,,,,
060400000,060410000,060410016,Spanish Red Cross,Aklan,Madalag,Napnot,,5/27/14,17,,,,,28,28,11,,,,,,,,
060400000,060410000,060410017,Spanish Red Cross,Aklan,Madalag,Pang-Itan,,5/28/14,41,,,,,55,55,14,,,,,,,,
060400000,060410000,060410018,Spanish Red Cross,Aklan,Madalag,Paningayan,,6/20/14,73,,,,,99,99,26,,,,,,,,
060400000,060410000,060410021,Spanish Red Cross,Aklan,Madalag,San Jose,,6/19/14,60,,,,,81,81,21,,,,,,,,
060400000,060410000,060410022,Spanish Red Cross,Aklan,Madalag,Singay,,5/21/14,14,,,,,26,26,12,,,,,,,,
060400000,060410000,060410023,Spanish Red Cross,Aklan,Madalag,Talangban,,5/27/14,24,,,,,43,43,19,,,,,,,,
060400000,060410000,060410024,Spanish Red Cross,Aklan,Madalag,Talimagao,,5/23/14,14,,,,,35,35,21,,,,,,,,
060400000,060410000,060410025,Spanish Red Cross,Aklan,Madalag,Tigbawan,,5/15/14,32,,,,,43,43,11,,,,,,,,
060400000,060415000,060415005,IFRC,Aklan,New Washington,Guinbaliwan,,4/13/14,,,,125,,,,,,,,,,,,
060400000,060415000,060415011,IFRC,Aklan,New Washington,Ochando,,4/14/14,,,,125,,,,,,,,,,,,
060400000,060415000,060415005,IFRC,Aklan,New Washington,Guinbaliwan,,5/23/14,125,124,,,,,,,,,,,,,,
060400000,060415000,060415011,IFRC,Aklan,New Washington,Ochando,,5/23/14,125,125,,,,,,,,,,,,,,
060400000,060415000,060415005,IFRC,Aklan,New Washington,Guinbaliwan,,5/30/14,,,109,,109,,,77,,,3,,,,,
060400000,060415000,060415011,IFRC,Aklan,New Washington,Ochando,,5/30/14,,,111,,111,,,44,,,,,,,,
060400000,060415000,060415002,IFRC,Aklan,New Washington,Cawayan,,6/19/14,204,,,201,,,,,,,,,,,,
060400000,060415000,060415007,IFRC,Aklan,New Washington,Jugas,,6/19/14,92,,,89,,,,66,,,,,,,,
060400000,060415000,060415014,IFRC,Aklan,New Washington,Polo,,6/19/14,204,,,195,,,,43,,,,,,,,
060400000,060415000,060415002,IFRC,Aklan,New Washington,Cawayan,,7/3/14,,202,,,,,,,,,,,,,,
060400000,060415000,060415007,IFRC,Aklan,New Washington,Jugas,,7/3/14,,88,,,,,,,,,,,,,,
060400000,060415000,060415014,IFRC,Aklan,New Washington,Polo,,7/3/14,,194,,,,,,,,,,,,,,
060400000,060415000,060415001,IFRC,Aklan,New Washington,Candelaria,,,41,,,,,,,22,,,,,,,,
060400000,060415000,060415003,IFRC,Aklan,New Washington,Dumaguit,,,70,,,,,,,27,,,,,,,,
060400000,060415000,060415005,IFRC,Aklan,New Washington,Guinbaliwan,,,52,,,,,,,,,,,,,,,
060400000,060415000,060415006,IFRC,Aklan,New Washington,Jalas,,,66,,,,,,,41,,,,,,,,
060400000,060415000,060415008,IFRC,Aklan,New Washington,Lawa-an,,,41,,,,,,,41,,,,,,,,
060400000,060415000,060415011,IFRC,Aklan,New Washington,Ochando,,,64,,,,,,,,,,,,,,,
060400000,060415000,060415012,IFRC,Aklan,New Washington,Pinamuk-an,,,68,,,,,,,,,,,,,,,
060400000,060415000,060415015,IFRC,Aklan,New Washington,Puis,,,91,,,,,,,101,,,1,,,,,
060600000,060602000,060602002,IFRC,Antique,Barbaza,Baghari,upland,6/18/14,33,,,,,,,9,,,,,,,,
060600000,060602000,060602002,IFRC,Antique,Barbaza,Baghari,,6/22/14,,,,33,,,,,,,,,,,,
060600000,060602000,060602002,IFRC,Antique,Barbaza,Baghari,,6/26/14,,32,,,,,,,,,,,,,,
060600000,060602000,060602002,IFRC,Antique,Barbaza,Baghari,,6/30/14,9,,,,,,,,,,,,,,,
060600000,060602000,060602002,IFRC,Antique,Barbaza,Baghari,,7/25/14,,,30,,30,,,,,,,,,,,
060600000,060602000,060602003,IFRC,Antique,Barbaza,Bahuyan,,6/18/14,44,,,,,,,10,,,,,,,,
060600000,060602000,060602003,IFRC,Antique,Barbaza,Bahuyan,,6/22/14,,,,44,,,,,,,,,,,,
060600000,060602000,060602003,IFRC,Antique,Barbaza,Bahuyan,,6/26/14,,44,,,,,,,,,,,,,,
060600000,060602000,060602003,IFRC,Antique,Barbaza,Bahuyan,,7/1/14,9,,,,,,,,,,,,,,,
060600000,060602000,060602003,IFRC,Antique,Barbaza,Bahuyan,,7/25/14,,,43,,43,,,,,,,,,,,
060600000,060602000,060602004,IFRC,Antique,Barbaza,Beri,,6/19/14,109,,,,,,,47,,,,,,,,
060600000,060602000,060602005,IFRC,Antique,Barbaza,Biga-a,Upland,6/24/14,47,,,,,,,11,,,,,,,,
060600000,060602000,060602007,IFRC,Antique,Barbaza,Binangbang Centro,,6/15/14,46,,,,,,,31,,,,,,,,
060600000,060602000,060602007,IFRC,Antique,Barbaza,Binangbang Centro,,6/21/14,,,,46,,,,,,,,,,,,
060600000,060602000,060602007,IFRC,Antique,Barbaza,Binangbang Centro,,6/26/14,,46,,,,,,,,,,,,,,
060600000,060602000,060602007,IFRC,Antique,Barbaza,Binangbang Centro,,7/1/14,5,,,,,,,,,,,,,,,
060600000,060602000,060602007,IFRC,Antique,Barbaza,Binangbang Centro,,7/25/14,,,45,,45,,,,,,,,,,,
060600000,060602000,060602008,IFRC,Antique,Barbaza,Binanu-an,,7/4/14,50,,,,,,,11,,,,,,,,
060600000,060602000,060602012,IFRC,Antique,Barbaza,Cubay,,7/2/14,63,,,,,,,37,,,,,,,,
060600000,060602000,060602018,IFRC,Antique,Barbaza,Embrangga-an,,6/19/14,21,,,,,,,17,,,,,,,,
060600000,060602000,060602018,IFRC,Antique,Barbaza,Embrangga-an,,6/21/14,,,,21,,,,,,,,,,,,
060600000,060602000,060602018,IFRC,Antique,Barbaza,Embrangga-an,,6/26/14,,21,,,,,,,,,,,,,,
