sex,age,heard_of,sectionA_prc_response,sectionA_prc_prepare,sectionA_prc_top,sectionA_prc_yolanda,sectionA_rcrc_principles_humanity,sectionA_rcrc_principles_impartiality,sectionA_rcrc_principles_neutrality,sectionA_rcrc_principles_independence,sectionA_rcrc_principles_voluntary,sectionA_rcrc_principles_unity,sectionA_rcrc_principles_universality,sectionA_rcrc_principles_dk,sectionA_prc_services_dms,sectionA_prc_services_blood,sectionA_prc_services_safety,sectionA_prc_services_health,sectionA_prc_services_social,sectionA_prc_services_volunteer,sectionA_prc_services_ihl,sectionA_prc_services_other,sectionA_prc_services_dk,sectionA_prc_services_other,sectionB_donor_items,sectionB_items_freq,sectionB_donor_money,sectionB_money_freq,sectionB_donor_blood,sectionB_blood_freq,sectionB_volunteer,sectionB_volunteer_freq,sectionB_member,sectionB_member_type,sectionB_member_length,picture_question,picture_consent,picture_image,interview_location,_interview_location_latitude,_interview_location_longitude,_interview_location_altitude,_interview_location_precision,deviceid,start,end,today,meta_instanceID,_uuid,_submission_time
male,50,yes,strongly_agree,strongly_agree,neither,agree,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,yes,one,no,n/a,yes,one,yes,one,yes,classic,1,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.53408E+14,2014-05-28T09:57:13.195+08,2014-05-28T10:01:44.922+08,5/28/14,uuid:bc993157-6ed5-4fc1-8593-43ab928425d7,bc993157-6ed5-4fc1-8593-43ab928425d7,2014-05-28T02:08:26
female,35,yes,agree,strongly_agree,neither,agree,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,no,n/a,no,n/a,no,n/a,no,n/a,no,n/a,n/a,no,n/a,n/a,14.574184577707856 120.98567981374624 278.4954891453459 96.0,14.57418458,120.9856798,278.4954891,96,3.53408E+14,2014-05-28T09:43:22.040+08,2014-05-28T09:50:20.212+08,5/28/14,uuid:83eea99d-bc27-485f-8302-bbba9980836b,83eea99d-bc27-485f-8302-bbba9980836b,2014-05-28T02:08:24
female,37,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.52218E+14,2014-05-28T10:09:06.533+08,2014-05-28T10:11:24.732+08,5/28/14,uuid:6951f476-3114-4b52-92f2-61fff910d00a,6951f476-3114-4b52-92f2-61fff910d00a,2014-05-28T02:32:02
male,41,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.53408E+14,2014-05-28T09:58:05.891+08,2014-05-28T10:04:10.411+08,5/28/14,uuid:3ce6d10e-bdb6-4e67-a780-3f06ac1c92b7,3ce6d10e-bdb6-4e67-a780-3f06ac1c92b7,2014-05-28T02:51:02
male,58,yes,strongly_agree,strongly_agree,strongly_agree,strongly_agree,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,n/a,no,n/a,no,n/a,yes,twofive,yes,twofive,yes,silver,5,yes,1401242430162.jpg,1401242442059.jpg,14.574476936547121 120.98464540436089 80.08219126107339 48.0,14.57447694,120.9846454,80.08219126,48,3.52218E+14,2014-05-28T09:54:40.836+08,2014-05-28T10:01:02.233+08,5/28/14,uuid:64050e95-a22f-43b2-8bdd-dd12e69b9437,64050e95-a22f-43b2-8bdd-dd12e69b9437,2014-05-28T02:28:16
female,23,yes,strongly_agree,agree,agree,strongly_agree,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,no,n/a,no,n/a,no,n/a,no,n/a,no,n/a,n/a,yes,1401242080683.jpg,1401242101498.jpg,n/a,n/a,n/a,n/a,n/a,3.53408E+14,2014-05-28T09:50:55.202+08,2014-05-28T09:55:07.958+08,5/28/14,uuid:2edda836-683f-4c49-9e2b-0ef90d476550,2edda836-683f-4c49-9e2b-0ef90d476550,2014-05-28T02:29:53
male,45,yes,strongly_agree,strongly_agree,strongly_agree,strongly_agree,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,no,n/a,no,n/a,no,n/a,no,n/a,no,n/a,n/a,yes,1401242467738.jpg,1401242481939.jpg,14.575001676630954 120.9861293024201 50.56945523990406 8.0,14.57500168,120.9861293,50.56945524,8,3.53408E+14,2014-05-28T09:56:21.521+08,2014-05-28T10:02:08.531+08,5/28/14,uuid:6dbcd597-33b7-4c5d-93ac-88883194f3fb,6dbcd597-33b7-4c5d-93ac-88883194f3fb,2014-05-28T02:30:15
male,29,yes,neither,agree,agree,agree,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,no,n/a,no,n/a,yes,one,no,n/a,no,n/a,n/a,yes,1401242488729.jpg,1401242509336.jpg,n/a,n/a,n/a,n/a,n/a,3.53408E+14,2014-05-28T09:59:50.465+08,2014-05-28T10:01:54.147+08,5/28/14,uuid:96906478-8de1-40ee-b86e-e4f29cd3662e,96906478-8de1-40ee-b86e-e4f29cd3662e,2014-05-28T02:30:36
male,62,yes,agree,strongly_agree,strongly_agree,strongly_agree,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,n/a,no,n/a,yes,twofive,no,n/a,no,n/a,no,n/a,n/a,yes,1401243364945.jpg,1401243389042.jpg,14.575112514918878 120.98609248614915 43.247673263280504 8.0,14.57511251,120.9860925,43.24767326,8,3.53408E+14,2014-05-28T10:07:39.645+08,2014-05-28T10:16:34.228+08,5/28/14,uuid:81a3579d-cf0c-4b5a-86fc-d3c8d9b1fceb,81a3579d-cf0c-4b5a-86fc-d3c8d9b1fceb,2014-05-28T02:31:20
male,52,yes,strongly_agree,agree,strongly_agree,neither,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,n/a,no,n/a,no,n/a,no,n/a,no,n/a,no,n/a,n/a,yes,1401242359707.jpg,1401242383545.jpg,14.575697837532006 120.98282229715204 65.82353346577257 16.0,14.57569784,120.9828223,65.82353347,16,3.52218E+14,2014-05-28T09:22:20.846+08,2014-05-28T10:10:10.030+08,5/28/14,uuid:a801b6ee-7ec6-427b-8b3f-5c3c5610c3a4,a801b6ee-7ec6-427b-8b3f-5c3c5610c3a4,2014-05-28T02:31:50
